pair,timeframe,pattern,n,wins,losses,win_rate_pct,expectancy_r,total_r
EURUSD=X,1h,three_soldiers_crows,18,12,6,66.7,0.667,12.0
EURUSD=X,1h,tweezer,20,10,10,50.0,0.25,5.0
EURUSD=X,1h,engulfing,11,5,6,45.5,0.136,1.5
EURUSD=X,1h,shooting_star,5,2,3,40.0,0.0,0.0
EURUSD=X,1h,star,3,1,2,33.3,-0.167,-0.5
EURUSD=X,1h,doji,1,0,1,0.0,-1.0,-1.0
GBPUSD=X,1h,doji,1,1,0,100.0,1.5,1.5
GBPUSD=X,1h,tweezer,21,15,6,71.4,0.786,16.5
GBPUSD=X,1h,hammer,2,1,1,50.0,0.25,0.5
GBPUSD=X,1h,three_soldiers_crows,6,2,4,33.3,-0.167,-1.0
GBPUSD=X,1h,engulfing,14,2,12,14.3,-0.643,-9.0
GBPUSD=X,1h,star,2,0,2,0.0,-1.0,-2.0
USDJPY=X,1h,tweezer,43,20,23,46.5,0.163,7.0
USDJPY=X,1h,engulfing,7,3,4,42.9,0.071,0.5
USDJPY=X,1h,marubozu,28,12,16,42.9,0.071,2.0
USDJPY=X,1h,three_soldiers_crows,2,0,2,0.0,-1.0,-2.0
GBPJPY=X,1h,star,1,1,0,100.0,1.5,1.5
GBPJPY=X,1h,three_soldiers_crows,4,3,1,75.0,0.875,3.5
GBPJPY=X,1h,engulfing,5,3,2,60.0,0.5,2.5
GBPJPY=X,1h,tweezer,32,18,14,56.2,0.406,13.0
GBPJPY=X,1h,marubozu,30,16,14,53.3,0.333,10.0
^DJI,1h,engulfing,12,7,5,58.3,0.458,5.5
^DJI,1h,marubozu,25,13,12,52.0,0.3,7.5
^DJI,1h,star,2,1,1,50.0,0.25,0.5
^DJI,1h,tweezer,40,19,21,47.5,0.188,7.5
^DJI,1h,three_soldiers_crows,4,1,3,25.0,-0.375,-1.5
