pair,timeframe,bar_time,pattern,direction,score,entry,sl,tp,risk,rr,outcome,bars_held,pnl_r
^DJI,1h,2026-09-01T18:42:27.510254+00:00,tweezer,1,100.0,39110.13,39098.94,39126.91,11.19,1.5,win,2,1.5
^DJI,1h,2026-09-01T19:42:27.510254+00:00,star,1,65.7,39123.46,39099.1,39160.0,24.36,1.5,win,1,1.5
^DJI,1h,2026-09-01T23:42:27.510254+00:00,tweezer,1,100.0,39164.23,39138.89,39202.24,25.34,1.5,loss,3,-1.0
^DJI,1h,2026-09-02T01:42:27.510254+00:00,tweezer,1,100.0,39162.38,39137.38,39199.88,25.0,1.5,loss,1,-1.0
^DJI,1h,2026-09-02T02:42:27.510254+00:00,marubozu,-1,-43.8,39121.57,39146.25,39084.54,24.69,1.5,loss,1,-1.0
^DJI,1h,2026-09-02T03:42:27.510254+00:00,marubozu,1,100.0,39153.67,39119.95,39204.25,33.72,1.5,win,5,1.5
^DJI,1h,2026-09-02T04:42:27.510254+00:00,marubozu,1,100.0,39185.61,39158.77,39225.86,26.84,1.5,win,4,1.5
^DJI,1h,2026-09-02T07:42:27.510254+00:00,tweezer,1,100.0,39191.94,39166.94,39229.45,25.01,1.5,win,1,1.5
^DJI,1h,2026-09-02T08:42:27.510254+00:00,marubozu,1,100.0,39231.51,39203.3,39273.83,28.21,1.5,loss,7,-1.0
^DJI,1h,2026-09-02T09:42:27.510254+00:00,tweezer,-1,-43.8,39219.44,39247.52,39177.32,28.08,1.5,loss,1,-1.0
^DJI,1h,2026-09-02T10:42:27.510254+00:00,tweezer,1,90.8,39253.81,39225.98,39295.55,27.83,1.5,loss,1,-1.0
^DJI,1h,2026-09-02T11:42:27.510254+00:00,tweezer,-1,-42.2,39225.54,39256.17,39179.6,30.63,1.5,win,6,1.5
^DJI,1h,2026-09-02T12:42:27.510254+00:00,tweezer,1,100.0,39241.18,39210.26,39287.56,30.92,1.5,loss,3,-1.0
^DJI,1h,2026-09-02T13:42:27.510254+00:00,tweezer,-1,-44.5,39216.99,39255.94,39158.58,38.94,1.5,win,6,1.5
^DJI,1h,2026-09-02T14:42:27.510254+00:00,tweezer,1,100.0,39217.38,39186.65,39263.47,30.73,1.5,loss,1,-1.0
^DJI,1h,2026-09-02T15:42:27.510254+00:00,engulfing,-1,-47.0,39180.48,39214.13,39130.0,33.65,1.5,loss,1,-1.0
^DJI,1h,2026-09-02T16:42:27.510254+00:00,tweezer,1,100.0,39218.75,39185.37,39268.82,33.38,1.5,loss,1,-1.0
^DJI,1h,2026-09-02T17:42:27.510254+00:00,marubozu,-1,-100.0,39171.21,39206.24,39118.66,35.03,1.5,win,3,1.5
^DJI,1h,2026-09-02T18:42:27.510254+00:00,tweezer,1,96.6,39176.02,39143.89,39224.2,32.13,1.5,loss,2,-1.0
^DJI,1h,2026-09-02T19:42:27.510254+00:00,engulfing,-1,-100.0,39148.34,39166.55,39121.03,18.21,1.5,win,1,1.5
^DJI,1h,2026-09-02T20:42:27.510254+00:00,marubozu,-1,-71.1,39100.9,39140.2,39041.94,39.3,1.5,loss,4,-1.0
^DJI,1h,2026-09-02T21:42:27.510254+00:00,tweezer,1,100.0,39112.65,39073.13,39171.94,39.52,1.5,win,11,1.5
^DJI,1h,2026-09-02T22:42:27.510254+00:00,star,1,58.7,39136.62,39119.04,39163.0,17.58,1.5,loss,1,-1.0
^DJI,1h,2026-09-02T23:42:27.510254+00:00,tweezer,-1,-74.0,39115.37,39154.2,39057.11,38.84,1.5,loss,3,-1.0
^DJI,1h,2026-09-03T00:42:27.510254+00:00,tweezer,1,100.0,39149.01,39098.31,39225.07,50.7,1.5,win,11,1.5
^DJI,1h,2026-09-03T01:42:27.510254+00:00,tweezer,-1,-93.1,39146.4,39182.41,39092.39,36.01,1.5,loss,8,-1.0
^DJI,1h,2026-09-03T02:42:27.510254+00:00,engulfing,1,100.0,39165.2,39128.85,39219.73,36.35,1.5,loss,1,-1.0
^DJI,1h,2026-09-03T03:42:27.510254+00:00,marubozu,-1,-73.7,39115.88,39167.81,39038.0,51.92,1.5,loss,5,-1.0
^DJI,1h,2026-09-03T04:42:27.510254+00:00,tweezer,1,100.0,39123.67,39098.24,39161.81,25.43,1.5,win,4,1.5
^DJI,1h,2026-09-03T05:42:27.510254+00:00,tweezer,-1,-100.0,39122.73,39167.6,39055.41,44.88,1.5,loss,3,-1.0
^DJI,1h,2026-09-03T06:42:27.510254+00:00,engulfing,1,100.0,39126.01,39098.75,39166.9,27.26,1.5,win,2,1.5
^DJI,1h,2026-09-03T07:42:27.510254+00:00,marubozu,1,54.3,39146.31,39098.94,39217.36,47.37,1.5,win,3,1.5
^DJI,1h,2026-09-03T08:42:27.510254+00:00,marubozu,1,68.1,39174.0,39142.23,39221.65,31.77,1.5,win,3,1.5
^DJI,1h,2026-09-03T09:42:27.510254+00:00,three_soldiers_crows,1,54.9,39191.08,39160.44,39237.02,30.63,1.5,win,2,1.5
^DJI,1h,2026-09-03T10:42:27.510254+00:00,marubozu,1,62.1,39219.03,39190.49,39261.84,28.54,1.5,loss,5,-1.0
^DJI,1h,2026-09-03T11:42:27.510254+00:00,three_soldiers_crows,1,56.5,39238.11,39208.78,39282.1,29.33,1.5,loss,3,-1.0
^DJI,1h,2026-09-03T12:42:27.510254+00:00,three_soldiers_crows,1,46.1,39248.7,39220.81,39290.54,27.89,1.5,loss,2,-1.0
^DJI,1h,2026-09-03T13:42:27.510254+00:00,tweezer,-1,-46.0,39231.98,39259.38,39190.86,27.41,1.5,win,2,1.5
^DJI,1h,2026-09-03T14:42:27.510254+00:00,marubozu,-1,-45.0,39196.99,39224.54,39155.66,27.55,1.5,loss,12,-1.0
^DJI,1h,2026-09-03T16:42:27.510254+00:00,tweezer,1,81.3,39180.59,39152.56,39222.65,28.04,1.5,win,10,1.5
^DJI,1h,2026-09-03T19:42:27.510254+00:00,marubozu,1,78.0,39200.64,39174.22,39240.27,26.42,1.5,win,7,1.5
^DJI,1h,2026-09-03T23:42:27.510254+00:00,engulfing,1,100.0,39220.23,39200.85,39249.31,19.38,1.5,win,3,1.5
^DJI,1h,2026-09-04T01:42:27.510254+00:00,engulfing,-1,-47.5,39210.93,39226.4,39187.72,15.47,1.5,loss,1,-1.0
^DJI,1h,2026-09-04T05:42:27.510254+00:00,tweezer,1,91.6,39257.79,39244.94,39277.07,12.85,1.5,win,3,1.5
^DJI,1h,2026-09-04T07:42:27.510254+00:00,engulfing,1,95.4,39266.91,39253.19,39287.5,13.72,1.5,win,1,1.5
^DJI,1h,2026-09-04T08:42:27.510254+00:00,marubozu,1,100.0,39287.65,39272.15,39310.91,15.51,1.5,loss,1,-1.0
^DJI,1h,2026-09-04T10:42:27.510254+00:00,marubozu,-1,-46.1,39231.71,39260.7,39188.23,28.99,1.5,loss,1,-1.0
^DJI,1h,2026-09-04T13:42:27.510254+00:00,three_soldiers_crows,1,93.4,39336.92,39308.44,39379.63,28.47,1.5,loss,4,-1.0
^DJI,1h,2026-09-04T14:42:27.510254+00:00,tweezer,-1,-42.2,39309.69,39339.01,39265.72,29.31,1.5,loss,7,-1.0
^DJI,1h,2026-09-04T15:42:27.510254+00:00,tweezer,1,96.1,39328.27,39296.02,39376.65,32.25,1.5,loss,4,-1.0
^DJI,1h,2026-09-04T16:42:27.510254+00:00,tweezer,-1,-43.2,39313.36,39338.83,39275.17,25.46,1.5,loss,5,-1.0
^DJI,1h,2026-09-04T20:42:27.510254+00:00,tweezer,1,100.0,39308.7,39277.65,39355.29,31.06,1.5,win,2,1.5
^DJI,1h,2026-09-04T21:42:27.510254+00:00,marubozu,1,88.4,39346.57,39291.01,39429.91,55.56,1.5,loss,12,-1.0
^DJI,1h,2026-09-04T23:42:27.510254+00:00,tweezer,-1,-40.1,39371.87,39412.05,39311.59,40.19,1.5,win,10,1.5
^DJI,1h,2026-09-05T00:42:27.510254+00:00,tweezer,1,92.1,39378.54,39340.28,39435.93,38.26,1.5,loss,8,-1.0
^DJI,1h,2026-09-05T06:42:27.510254+00:00,marubozu,-1,-46.2,39349.41,39387.82,39291.79,38.41,1.5,win,3,1.5
^DJI,1h,2026-09-05T10:42:27.510254+00:00,tweezer,1,100.0,39278.88,39236.72,39342.13,42.16,1.5,win,14,1.5
^DJI,1h,2026-09-05T11:42:27.510254+00:00,marubozu,1,100.0,39325.39,39290.39,39377.88,35.0,1.5,loss,5,-1.0
^DJI,1h,2026-09-05T13:42:27.510254+00:00,engulfing,-1,-44.8,39310.91,39344.68,39260.26,33.77,1.5,win,7,1.5
^DJI,1h,2026-09-05T14:42:27.510254+00:00,tweezer,1,100.0,39328.83,39290.93,39385.68,37.9,1.5,loss,2,-1.0
^DJI,1h,2026-09-05T15:42:27.510254+00:00,tweezer,-1,-49.5,39292.99,39332.71,39233.41,39.72,1.5,loss,9,-1.0
^DJI,1h,2026-09-05T18:42:27.510254+00:00,tweezer,1,100.0,39265.28,39229.87,39318.38,35.4,1.5,win,6,1.5
^DJI,1h,2026-09-05T19:42:27.510254+00:00,marubozu,1,41.2,39277.31,39246.77,39323.12,30.54,1.5,win,5,1.5
^DJI,1h,2026-09-05T20:42:27.510254+00:00,tweezer,-1,-49.3,39258.12,39285.39,39217.22,27.27,1.5,loss,4,-1.0
^DJI,1h,2026-09-05T22:42:27.510254+00:00,tweezer,1,100.0,39255.94,39230.29,39294.42,25.65,1.5,win,2,1.5
^DJI,1h,2026-09-05T23:42:27.510254+00:00,marubozu,1,41.9,39265.02,39250.95,39286.12,14.07,1.5,win,1,1.5
^DJI,1h,2026-09-06T02:42:27.510254+00:00,engulfing,-1,-49.0,39327.97,39358.63,39281.98,30.66,1.5,loss,1,-1.0
^DJI,1h,2026-09-06T03:42:27.510254+00:00,tweezer,1,100.0,39360.21,39328.16,39408.28,32.05,1.5,win,5,1.5
^DJI,1h,2026-09-06T04:42:27.510254+00:00,marubozu,1,83.8,39399.62,39365.27,39451.15,34.35,1.5,loss,2,-1.0
