pair,timeframe,bar_time,pattern,direction,score,entry,sl,tp,risk,rr,outcome,bars_held,pnl_r
EURUSD=X,1h,2026-09-01T18:42:10.361945+00:00,three_soldiers_crows,-1,-50.3,1.08217,1.08421,1.07912,0.00203,1.5,win,28,1.5
EURUSD=X,1h,2026-09-01T19:42:10.361945+00:00,three_soldiers_crows,-1,-80.7,1.08146,1.08282,1.07942,0.00136,1.5,loss,20,-1.0
EURUSD=X,1h,2026-09-01T20:42:10.361945+00:00,shooting_star,-1,-49.3,1.08131,1.08263,1.07934,0.00132,1.5,loss,18,-1.0
EURUSD=X,1h,2026-09-01T23:42:10.361945+00:00,three_soldiers_crows,-1,-100.0,1.08007,1.08139,1.07809,0.00132,1.5,loss,3,-1.0
EURUSD=X,1h,2026-09-02T03:42:10.361945+00:00,tweezer,-1,-100.0,1.08037,1.08187,1.07812,0.0015,1.5,loss,7,-1.0
EURUSD=X,1h,2026-09-02T04:42:10.361945+00:00,tweezer,1,41.3,1.08145,1.07947,1.08442,0.00198,1.5,loss,15,-1.0
EURUSD=X,1h,2026-09-02T05:42:10.361945+00:00,tweezer,-1,-100.0,1.08054,1.08189,1.07853,0.00134,1.5,loss,5,-1.0
EURUSD=X,1h,2026-09-02T11:42:10.361945+00:00,engulfing,-1,-100.0,1.08092,1.08189,1.07947,0.00097,1.5,loss,1,-1.0
EURUSD=X,1h,2026-09-02T13:42:10.361945+00:00,shooting_star,-1,-62.6,1.08204,1.0836,1.0797,0.00156,1.5,win,6,1.5
EURUSD=X,1h,2026-09-02T15:42:10.361945+00:00,tweezer,-1,-100.0,1.08194,1.08357,1.0795,0.00163,1.5,win,4,1.5
EURUSD=X,1h,2026-09-02T17:42:10.361945+00:00,three_soldiers_crows,-1,-70.9,1.08076,1.08189,1.07907,0.00113,1.5,win,5,1.5
EURUSD=X,1h,2026-09-02T18:42:10.361945+00:00,three_soldiers_crows,-1,-44.7,1.0802,1.08189,1.07767,0.00169,1.5,win,6,1.5
EURUSD=X,1h,2026-09-02T19:42:10.361945+00:00,three_soldiers_crows,-1,-53.0,1.07946,1.08189,1.07583,0.00242,1.5,win,15,1.5
EURUSD=X,1h,2026-09-02T20:42:10.361945+00:00,tweezer,1,48.1,1.07983,1.07833,1.08209,0.0015,1.5,loss,3,-1.0
EURUSD=X,1h,2026-09-02T21:42:10.361945+00:00,tweezer,-1,-70.6,1.07959,1.08188,1.07615,0.00229,1.5,win,13,1.5
EURUSD=X,1h,2026-09-03T00:42:10.361945+00:00,three_soldiers_crows,-1,-66.8,1.07737,1.07895,1.07499,0.00158,1.5,win,12,1.5
EURUSD=X,1h,2026-09-03T02:42:10.361945+00:00,tweezer,-1,-98.6,1.07727,1.07869,1.07513,0.00142,1.5,win,10,1.5
EURUSD=X,1h,2026-09-03T04:42:10.361945+00:00,tweezer,-1,-97.2,1.07755,1.07903,1.07533,0.00148,1.5,win,7,1.5
EURUSD=X,1h,2026-09-03T06:42:10.361945+00:00,engulfing,-1,-64.8,1.07721,1.0787,1.07497,0.00149,1.5,win,6,1.5
EURUSD=X,1h,2026-09-03T08:42:10.361945+00:00,doji,1,41.4,1.07743,1.07674,1.07846,0.00069,1.5,loss,2,-1.0
EURUSD=X,1h,2026-09-03T09:42:10.361945+00:00,engulfing,-1,-92.9,1.07693,1.07869,1.07429,0.00176,1.5,win,3,1.5
EURUSD=X,1h,2026-09-03T11:42:10.361945+00:00,three_soldiers_crows,-1,-100.0,1.07535,1.0768,1.07317,0.00145,1.5,win,2,1.5
EURUSD=X,1h,2026-09-03T12:42:10.361945+00:00,three_soldiers_crows,-1,-100.0,1.07442,1.07594,1.07212,0.00153,1.5,loss,10,-1.0
EURUSD=X,1h,2026-09-03T13:42:10.361945+00:00,three_soldiers_crows,-1,-85.3,1.07337,1.07498,1.07096,0.00161,1.5,loss,7,-1.0
EURUSD=X,1h,2026-09-03T14:42:10.361945+00:00,shooting_star,-1,-62.6,1.07354,1.07514,1.07114,0.0016,1.5,loss,7,-1.0
EURUSD=X,1h,2026-09-03T22:42:10.361945+00:00,three_soldiers_crows,1,40.4,1.07663,1.07496,1.07914,0.00167,1.5,loss,8,-1.0
EURUSD=X,1h,2026-09-03T23:42:10.361945+00:00,tweezer,-1,-90.1,1.07572,1.07745,1.07314,0.00173,1.5,win,9,1.5
EURUSD=X,1h,2026-09-04T01:42:10.361945+00:00,star,1,42.0,1.07689,1.07518,1.07945,0.00171,1.5,loss,4,-1.0
EURUSD=X,1h,2026-09-04T02:42:10.361945+00:00,tweezer,-1,-81.9,1.07685,1.07735,1.07611,0.00049,1.5,win,3,1.5
EURUSD=X,1h,2026-09-04T03:42:10.361945+00:00,star,-1,-52.5,1.0764,1.07734,1.07499,0.00094,1.5,win,3,1.5
EURUSD=X,1h,2026-09-04T05:42:10.361945+00:00,engulfing,-1,-100.0,1.07519,1.07734,1.07196,0.00215,1.5,win,7,1.5
EURUSD=X,1h,2026-09-04T07:42:10.361945+00:00,three_soldiers_crows,-1,-84.8,1.07331,1.07486,1.07099,0.00155,1.5,win,8,1.5
EURUSD=X,1h,2026-09-04T08:42:10.361945+00:00,three_soldiers_crows,-1,-64.5,1.07264,1.07425,1.07023,0.00161,1.5,win,8,1.5
EURUSD=X,1h,2026-09-04T09:42:10.361945+00:00,shooting_star,-1,-68.2,1.07269,1.07425,1.07036,0.00156,1.5,win,7,1.5
EURUSD=X,1h,2026-09-04T11:42:10.361945+00:00,engulfing,-1,-73.9,1.07248,1.07394,1.07029,0.00146,1.5,win,5,1.5
EURUSD=X,1h,2026-09-04T15:42:10.361945+00:00,engulfing,-1,-100.0,1.0706,1.07192,1.06863,0.00131,1.5,win,3,1.5
EURUSD=X,1h,2026-09-04T17:42:10.361945+00:00,three_soldiers_crows,-1,-100.0,1.06871,1.07022,1.06644,0.00151,1.5,win,5,1.5
EURUSD=X,1h,2026-09-04T18:42:10.361945+00:00,three_soldiers_crows,-1,-88.1,1.06758,1.06925,1.06507,0.00167,1.5,win,14,1.5
EURUSD=X,1h,2026-09-04T21:42:10.361945+00:00,engulfing,-1,-100.0,1.0669,1.06829,1.06482,0.00139,1.5,loss,24,-1.0
EURUSD=X,1h,2026-09-05T02:42:10.361945+00:00,tweezer,-1,-80.9,1.06603,1.06737,1.06402,0.00134,1.5,loss,2,-1.0
EURUSD=X,1h,2026-09-05T04:42:10.361945+00:00,tweezer,-1,-71.0,1.06683,1.06834,1.06455,0.00152,1.5,loss,17,-1.0
EURUSD=X,1h,2026-09-05T05:42:10.361945+00:00,star,-1,-60.3,1.06618,1.06771,1.06388,0.00154,1.5,loss,13,-1.0
EURUSD=X,1h,2026-09-05T07:42:10.361945+00:00,engulfing,-1,-94.4,1.06532,1.06771,1.06173,0.00239,1.5,loss,11,-1.0
EURUSD=X,1h,2026-09-05T09:42:10.361945+00:00,tweezer,-1,-90.0,1.06587,1.06771,1.0631,0.00184,1.5,loss,9,-1.0
EURUSD=X,1h,2026-09-05T11:42:10.361945+00:00,engulfing,1,40.1,1.06653,1.06548,1.0681,0.00105,1.5,loss,4,-1.0
EURUSD=X,1h,2026-09-05T12:42:10.361945+00:00,tweezer,-1,-89.1,1.06599,1.06771,1.06341,0.00172,1.5,loss,6,-1.0
EURUSD=X,1h,2026-09-05T15:42:10.361945+00:00,tweezer,-1,-98.4,1.06603,1.06773,1.06348,0.0017,1.5,loss,3,-1.0
EURUSD=X,1h,2026-09-05T16:42:10.361945+00:00,shooting_star,-1,-72.6,1.06613,1.06772,1.06373,0.0016,1.5,loss,2,-1.0
EURUSD=X,1h,2026-09-05T22:42:10.361945+00:00,tweezer,-1,-100.0,1.0676,1.06923,1.06516,0.00163,1.5,win,5,1.5
EURUSD=X,1h,2026-09-06T00:42:10.361945+00:00,tweezer,-1,-100.0,1.06764,1.06964,1.06465,0.002,1.5,win,4,1.5
EURUSD=X,1h,2026-09-06T03:42:10.361945+00:00,three_soldiers_crows,-1,-73.8,1.06504,1.06666,1.06261,0.00162,1.5,win,8,1.5
EURUSD=X,1h,2026-09-06T04:42:10.361945+00:00,three_soldiers_crows,-1,-61.9,1.06424,1.06588,1.06179,0.00164,1.5,win,15,1.5
EURUSD=X,1h,2026-09-06T10:42:10.361945+00:00,tweezer,-1,-98.5,1.06326,1.06458,1.06128,0.00132,1.5,loss,3,-1.0
EURUSD=X,1h,2026-09-06T14:42:10.361945+00:00,tweezer,-1,-100.0,1.06398,1.0648,1.06274,0.00082,1.5,win,1,1.5
EURUSD=X,1h,2026-09-06T17:42:10.361945+00:00,tweezer,-1,-62.7,1.06272,1.0648,1.05959,0.00209,1.5,pending,0,0.0
EURUSD=X,1h,2026-09-06T19:42:10.361945+00:00,three_soldiers_crows,-1,-77.8,1.06132,1.06284,1.05905,0.00152,1.5,loss,5,-1.0
EURUSD=X,1h,2026-09-06T21:42:10.361945+00:00,engulfing,-1,-100.0,1.06087,1.06251,1.0584,0.00165,1.5,loss,2,-1.0
EURUSD=X,1h,2026-09-07T00:42:10.361945+00:00,tweezer,-1,-72.9,1.06221,1.06483,1.05829,0.00261,1.5,pending,0,0.0
EURUSD=X,1h,2026-09-07T02:42:10.361945+00:00,tweezer,-1,-80.4,1.06234,1.06328,1.06092,0.00094,1.5,win,5,1.5
EURUSD=X,1h,2026-09-07T10:42:10.361945+00:00,engulfing,-1,-93.7,1.06008,1.06161,1.05778,0.00153,1.5,loss,3,-1.0
