pair,timeframe,bar_time,pattern,direction,score,entry,sl,tp,risk,rr,outcome,bars_held,pnl_r
GBPJPY=X,1h,2026-09-01T19:42:22.832167+00:00,engulfing,-1,-100.0,189.579,189.698,189.4,0.119,1.5,loss,3,-1.0
GBPJPY=X,1h,2026-09-01T21:42:22.832167+00:00,tweezer,1,100.0,189.569,189.455,189.739,0.113,1.5,win,1,1.5
GBPJPY=X,1h,2026-09-01T23:42:22.832167+00:00,marubozu,1,80.3,189.906,189.778,190.096,0.127,1.5,loss,7,-1.0
GBPJPY=X,1h,2026-09-02T00:42:22.832167+00:00,three_soldiers_crows,1,100.0,190.023,189.884,190.232,0.139,1.5,loss,4,-1.0
GBPJPY=X,1h,2026-09-02T01:42:22.832167+00:00,tweezer,-1,-100.0,189.971,190.033,189.878,0.062,1.5,win,3,1.5
GBPJPY=X,1h,2026-09-02T03:42:22.832167+00:00,tweezer,1,100.0,190.005,189.871,190.206,0.134,1.5,loss,1,-1.0
GBPJPY=X,1h,2026-09-02T04:42:22.832167+00:00,marubozu,-1,-100.0,189.856,189.962,189.697,0.106,1.5,win,2,1.5
GBPJPY=X,1h,2026-09-02T07:42:22.832167+00:00,tweezer,1,48.8,189.686,189.544,189.9,0.143,1.5,win,7,1.5
GBPJPY=X,1h,2026-09-02T08:42:22.832167+00:00,marubozu,1,43.3,189.876,189.687,190.159,0.189,1.5,loss,3,-1.0
GBPJPY=X,1h,2026-09-02T09:42:22.832167+00:00,tweezer,-1,-100.0,189.839,189.886,189.768,0.047,1.5,win,2,1.5
GBPJPY=X,1h,2026-09-02T10:42:22.832167+00:00,star,-1,-41.2,189.797,189.886,189.663,0.089,1.5,win,1,1.5
GBPJPY=X,1h,2026-09-02T11:42:22.832167+00:00,marubozu,-1,-70.4,189.647,189.887,189.286,0.24,1.5,loss,3,-1.0
GBPJPY=X,1h,2026-09-02T12:42:22.832167+00:00,tweezer,1,100.0,189.671,189.592,189.789,0.079,1.5,win,1,1.5
GBPJPY=X,1h,2026-09-02T13:42:22.832167+00:00,marubozu,1,100.0,189.84,189.636,190.145,0.203,1.5,win,18,1.5
GBPJPY=X,1h,2026-09-02T14:42:22.832167+00:00,marubozu,1,92.3,189.996,189.84,190.229,0.156,1.5,loss,2,-1.0
GBPJPY=X,1h,2026-09-02T15:42:22.832167+00:00,tweezer,-1,-100.0,189.898,190.007,189.736,0.108,1.5,win,1,1.5
GBPJPY=X,1h,2026-09-02T16:42:22.832167+00:00,marubozu,-1,-100.0,189.703,189.888,189.425,0.185,1.5,loss,7,-1.0
GBPJPY=X,1h,2026-09-02T17:42:22.832167+00:00,tweezer,1,49.3,189.879,189.634,190.246,0.245,1.5,win,16,1.5
GBPJPY=X,1h,2026-09-02T18:42:22.832167+00:00,tweezer,-1,-100.0,189.827,189.888,189.736,0.061,1.5,win,2,1.5
GBPJPY=X,1h,2026-09-02T21:42:22.832167+00:00,tweezer,1,100.0,189.831,189.636,190.124,0.195,1.5,win,10,1.5
GBPJPY=X,1h,2026-09-02T22:42:22.832167+00:00,tweezer,-1,-100.0,189.788,189.886,189.642,0.097,1.5,loss,1,-1.0
GBPJPY=X,1h,2026-09-02T23:42:22.832167+00:00,engulfing,1,72.3,189.967,189.807,190.206,0.159,1.5,win,8,1.5
GBPJPY=X,1h,2026-09-03T01:42:22.832167+00:00,tweezer,-1,-100.0,189.942,190.006,189.846,0.064,1.5,loss,4,-1.0
GBPJPY=X,1h,2026-09-03T03:42:22.832167+00:00,marubozu,-1,-49.2,189.853,189.989,189.649,0.136,1.5,loss,2,-1.0
GBPJPY=X,1h,2026-09-03T04:42:22.832167+00:00,marubozu,1,100.0,189.988,189.844,190.204,0.144,1.5,win,3,1.5
GBPJPY=X,1h,2026-09-03T05:42:22.832167+00:00,marubozu,1,50.2,190.049,189.844,190.357,0.205,1.5,win,8,1.5
GBPJPY=X,1h,2026-09-03T07:42:22.832167+00:00,marubozu,1,100.0,190.207,190.1,190.367,0.107,1.5,win,6,1.5
GBPJPY=X,1h,2026-09-03T10:42:22.832167+00:00,marubozu,1,62.7,190.347,190.241,190.506,0.106,1.5,loss,2,-1.0
GBPJPY=X,1h,2026-09-03T15:42:22.832167+00:00,tweezer,1,100.0,190.454,190.339,190.626,0.115,1.5,loss,1,-1.0
GBPJPY=X,1h,2026-09-03T16:42:22.832167+00:00,engulfing,-1,-44.2,190.273,190.463,189.988,0.19,1.5,loss,6,-1.0
GBPJPY=X,1h,2026-09-03T18:42:22.832167+00:00,tweezer,1,100.0,190.302,190.228,190.412,0.074,1.5,win,2,1.5
GBPJPY=X,1h,2026-09-03T19:42:22.832167+00:00,marubozu,1,58.7,190.374,190.228,190.594,0.146,1.5,win,8,1.5
GBPJPY=X,1h,2026-09-03T22:42:22.832167+00:00,marubozu,1,64.9,190.552,190.431,190.734,0.121,1.5,loss,2,-1.0
GBPJPY=X,1h,2026-09-03T23:42:22.832167+00:00,tweezer,-1,-48.3,190.472,190.6,190.281,0.128,1.5,loss,4,-1.0
GBPJPY=X,1h,2026-09-04T01:42:22.832167+00:00,tweezer,1,100.0,190.553,190.412,190.764,0.141,1.5,win,2,1.5
GBPJPY=X,1h,2026-09-04T02:42:22.832167+00:00,tweezer,-1,-48.4,190.494,190.626,190.295,0.132,1.5,loss,1,-1.0
GBPJPY=X,1h,2026-09-04T04:42:22.832167+00:00,marubozu,1,100.0,190.974,190.82,191.205,0.154,1.5,win,2,1.5
GBPJPY=X,1h,2026-09-04T05:42:22.832167+00:00,three_soldiers_crows,1,100.0,191.14,190.972,191.392,0.168,1.5,win,5,1.5
GBPJPY=X,1h,2026-09-04T06:42:22.832167+00:00,three_soldiers_crows,1,62.5,191.224,191.066,191.46,0.158,1.5,win,5,1.5
GBPJPY=X,1h,2026-09-04T08:42:22.832167+00:00,tweezer,1,100.0,191.177,191.015,191.42,0.162,1.5,win,2,1.5
GBPJPY=X,1h,2026-09-04T10:42:22.832167+00:00,marubozu,1,93.4,191.422,191.245,191.687,0.177,1.5,win,6,1.5
GBPJPY=X,1h,2026-09-04T11:42:22.832167+00:00,marubozu,1,62.8,191.522,191.338,191.797,0.184,1.5,win,13,1.5
GBPJPY=X,1h,2026-09-04T12:42:22.832167+00:00,three_soldiers_crows,1,58.1,191.608,191.426,191.881,0.182,1.5,win,12,1.5
GBPJPY=X,1h,2026-09-04T13:42:22.832167+00:00,tweezer,-1,-45.1,191.528,191.621,191.39,0.093,1.5,loss,3,-1.0
GBPJPY=X,1h,2026-09-04T15:42:22.832167+00:00,tweezer,1,97.4,191.556,191.393,191.8,0.163,1.5,win,9,1.5
GBPJPY=X,1h,2026-09-04T16:42:22.832167+00:00,marubozu,1,86.4,191.735,191.56,191.999,0.176,1.5,win,16,1.5
GBPJPY=X,1h,2026-09-04T20:42:22.832167+00:00,engulfing,1,93.3,191.715,191.601,191.887,0.114,1.5,win,4,1.5
GBPJPY=X,1h,2026-09-04T22:42:22.832167+00:00,engulfing,1,100.0,191.765,191.639,191.954,0.126,1.5,win,4,1.5
GBPJPY=X,1h,2026-09-05T00:42:22.832167+00:00,marubozu,1,96.9,191.923,191.822,192.073,0.1,1.5,loss,5,-1.0
GBPJPY=X,1h,2026-09-05T02:42:22.832167+00:00,marubozu,1,48.6,191.996,191.908,192.129,0.088,1.5,loss,1,-1.0
GBPJPY=X,1h,2026-09-05T03:42:22.832167+00:00,tweezer,-1,-40.8,191.892,191.983,191.756,0.091,1.5,loss,5,-1.0
GBPJPY=X,1h,2026-09-05T06:42:22.832167+00:00,tweezer,1,100.0,191.841,191.789,191.918,0.052,1.5,win,2,1.5
GBPJPY=X,1h,2026-09-05T10:42:22.832167+00:00,marubozu,1,65.4,192.291,192.179,192.458,0.111,1.5,loss,1,-1.0
GBPJPY=X,1h,2026-09-05T11:42:22.832167+00:00,tweezer,-1,-43.0,192.173,192.299,191.983,0.126,1.5,loss,3,-1.0
GBPJPY=X,1h,2026-09-05T13:42:22.832167+00:00,tweezer,1,100.0,192.181,192.061,192.36,0.12,1.5,win,1,1.5
GBPJPY=X,1h,2026-09-05T16:42:22.832167+00:00,marubozu,1,100.0,192.549,192.412,192.755,0.137,1.5,win,11,1.5
GBPJPY=X,1h,2026-09-05T17:42:22.832167+00:00,tweezer,-1,-46.9,192.485,192.618,192.285,0.133,1.5,loss,4,-1.0
GBPJPY=X,1h,2026-09-05T18:42:22.832167+00:00,tweezer,1,100.0,192.562,192.425,192.767,0.137,1.5,win,9,1.5
GBPJPY=X,1h,2026-09-05T20:42:22.832167+00:00,tweezer,-1,-43.8,192.534,192.667,192.333,0.134,1.5,loss,1,-1.0
GBPJPY=X,1h,2026-09-05T21:42:22.832167+00:00,tweezer,1,100.0,192.675,192.528,192.894,0.146,1.5,win,7,1.5
GBPJPY=X,1h,2026-09-06T02:42:22.832167+00:00,marubozu,1,100.0,192.71,192.589,192.892,0.121,1.5,win,2,1.5
GBPJPY=X,1h,2026-09-06T03:42:22.832167+00:00,marubozu,1,48.9,192.773,192.589,193.051,0.185,1.5,loss,9,-1.0
GBPJPY=X,1h,2026-09-06T04:42:22.832167+00:00,marubozu,1,98.8,192.923,192.814,193.087,0.109,1.5,loss,3,-1.0
GBPJPY=X,1h,2026-09-06T09:42:22.832167+00:00,tweezer,1,100.0,192.74,192.589,192.967,0.151,1.5,loss,3,-1.0
GBPJPY=X,1h,2026-09-06T11:42:22.832167+00:00,tweezer,1,100.0,192.755,192.589,193.004,0.166,1.5,loss,1,-1.0
GBPJPY=X,1h,2026-09-06T13:42:22.832167+00:00,marubozu,1,100.0,192.619,192.458,192.862,0.161,1.5,win,7,1.5
GBPJPY=X,1h,2026-09-06T16:42:22.832167+00:00,tweezer,1,100.0,192.608,192.448,192.847,0.16,1.5,win,4,1.5
GBPJPY=X,1h,2026-09-06T17:42:22.832167+00:00,marubozu,1,57.4,192.695,192.586,192.859,0.11,1.5,win,3,1.5
GBPJPY=X,1h,2026-09-06T20:42:22.832167+00:00,marubozu,1,50.6,192.865,192.711,193.096,0.154,1.5,win,3,1.5
GBPJPY=X,1h,2026-09-06T21:42:22.832167+00:00,marubozu,1,78.3,193.029,192.864,193.275,0.165,1.5,win,4,1.5
GBPJPY=X,1h,2026-09-06T23:42:22.832167+00:00,marubozu,1,81.7,193.234,193.068,193.484,0.166,1.5,pending,0,0.0
GBPJPY=X,1h,2026-09-07T01:42:22.832167+00:00,marubozu,1,46.9,193.37,193.212,193.606,0.157,1.5,loss,11,-1.0
GBPJPY=X,1h,2026-09-07T08:42:22.832167+00:00,tweezer,1,100.0,193.351,193.224,193.541,0.127,1.5,loss,4,-1.0
GBPJPY=X,1h,2026-09-07T13:42:22.832167+00:00,tweezer,1,100.0,193.267,193.226,193.33,0.042,1.5,pending,0,0.0
