pair,timeframe,bar_time,pattern,direction,score,entry,sl,tp,risk,rr,outcome,bars_held,pnl_r
GBPUSD=X,1h,2026-09-01T21:42:14.246841+00:00,tweezer,1,80.7,1.27868,1.2763,1.28224,0.00238,1.5,win,9,1.5
GBPUSD=X,1h,2026-09-02T01:42:14.246841+00:00,engulfing,1,100.0,1.28061,1.27909,1.28288,0.00152,1.5,win,21,1.5
GBPUSD=X,1h,2026-09-02T04:42:14.246841+00:00,tweezer,1,79.9,1.28183,1.28033,1.28408,0.0015,1.5,loss,5,-1.0
GBPUSD=X,1h,2026-09-02T06:42:14.246841+00:00,tweezer,-1,-43.4,1.28173,1.28313,1.27964,0.00139,1.5,loss,16,-1.0
GBPUSD=X,1h,2026-09-02T09:42:14.246841+00:00,engulfing,1,93.8,1.28183,1.28036,1.28405,0.00148,1.5,loss,3,-1.0
GBPUSD=X,1h,2026-09-02T11:42:14.246841+00:00,engulfing,-1,-47.4,1.2814,1.28241,1.2799,0.001,1.5,loss,11,-1.0
GBPUSD=X,1h,2026-09-02T13:42:14.246841+00:00,tweezer,1,88.8,1.2814,1.27972,1.28393,0.00169,1.5,win,20,1.5
GBPUSD=X,1h,2026-09-02T17:42:14.246841+00:00,engulfing,1,67.9,1.28181,1.27972,1.28494,0.00209,1.5,loss,21,-1.0
GBPUSD=X,1h,2026-09-02T21:42:14.246841+00:00,engulfing,1,75.3,1.28218,1.28043,1.2848,0.00175,1.5,loss,16,-1.0
GBPUSD=X,1h,2026-09-03T00:42:14.246841+00:00,tweezer,1,73.5,1.28325,1.28167,1.28562,0.00158,1.5,loss,2,-1.0
GBPUSD=X,1h,2026-09-03T01:42:14.246841+00:00,engulfing,-1,-49.3,1.28227,1.28388,1.27986,0.00161,1.5,loss,8,-1.0
GBPUSD=X,1h,2026-09-03T03:42:14.246841+00:00,tweezer,1,100.0,1.28167,1.28044,1.28353,0.00123,1.5,win,6,1.5
GBPUSD=X,1h,2026-09-03T04:42:14.246841+00:00,star,1,54.2,1.28195,1.28044,1.28422,0.00151,1.5,loss,9,-1.0
GBPUSD=X,1h,2026-09-03T06:42:14.246841+00:00,hammer,1,68.4,1.28237,1.28118,1.28414,0.00118,1.5,loss,6,-1.0
GBPUSD=X,1h,2026-09-03T08:42:14.246841+00:00,engulfing,1,100.0,1.28292,1.28118,1.28553,0.00174,1.5,loss,4,-1.0
GBPUSD=X,1h,2026-09-03T13:42:14.246841+00:00,three_soldiers_crows,-1,-44.6,1.28029,1.28169,1.27819,0.0014,1.5,win,7,1.5
GBPUSD=X,1h,2026-09-03T15:42:14.246841+00:00,engulfing,1,100.0,1.28111,1.28044,1.28213,0.00068,1.5,loss,1,-1.0
GBPUSD=X,1h,2026-09-03T16:42:14.246841+00:00,tweezer,-1,-71.7,1.28072,1.28223,1.27846,0.00151,1.5,win,3,1.5
GBPUSD=X,1h,2026-09-03T17:42:14.246841+00:00,star,-1,-63.6,1.27927,1.28154,1.27587,0.00227,1.5,loss,21,-1.0
GBPUSD=X,1h,2026-09-03T18:42:14.246841+00:00,three_soldiers_crows,-1,-52.9,1.27871,1.28154,1.27448,0.00283,1.5,loss,20,-1.0
