pair,timeframe,bar_time,pattern,direction,score,entry,sl,tp,risk,rr,outcome,bars_held,pnl_r
USDJPY=X,1h,2026-09-01T18:42:17.687534+00:00,tweezer,1,100.0,149.712,149.631,149.833,0.081,1.5,win,5,1.5
USDJPY=X,1h,2026-09-01T19:42:17.687534+00:00,marubozu,1,57.6,149.8,149.631,150.054,0.169,1.5,win,5,1.5
USDJPY=X,1h,2026-09-01T20:42:17.687534+00:00,tweezer,-1,-100.0,149.758,149.875,149.584,0.116,1.5,loss,4,-1.0
USDJPY=X,1h,2026-09-01T23:42:17.687534+00:00,engulfing,1,100.0,149.86,149.749,150.025,0.11,1.5,win,1,1.5
USDJPY=X,1h,2026-09-02T01:42:17.687534+00:00,tweezer,-1,-100.0,150.016,150.14,149.829,0.124,1.5,loss,2,-1.0
USDJPY=X,1h,2026-09-02T02:42:17.687534+00:00,tweezer,1,69.4,150.048,149.921,150.239,0.127,1.5,loss,12,-1.0
USDJPY=X,1h,2026-09-02T03:42:17.687534+00:00,marubozu,1,61.9,150.188,150.055,150.387,0.133,1.5,loss,1,-1.0
USDJPY=X,1h,2026-09-02T04:42:17.687534+00:00,tweezer,-1,-49.2,149.998,150.151,149.769,0.153,1.5,loss,5,-1.0
USDJPY=X,1h,2026-09-02T05:42:17.687534+00:00,tweezer,1,100.0,150.094,149.988,150.252,0.105,1.5,loss,8,-1.0
USDJPY=X,1h,2026-09-02T08:42:17.687534+00:00,tweezer,1,100.0,150.098,149.99,150.26,0.108,1.5,loss,5,-1.0
USDJPY=X,1h,2026-09-02T09:42:17.687534+00:00,marubozu,1,74.9,150.219,150.105,150.391,0.114,1.5,loss,4,-1.0
USDJPY=X,1h,2026-09-02T10:42:17.687534+00:00,tweezer,-1,-49.5,150.189,150.302,150.019,0.113,1.5,win,3,1.5
USDJPY=X,1h,2026-09-02T13:42:17.687534+00:00,marubozu,-1,-44.6,149.954,150.08,149.764,0.126,1.5,loss,4,-1.0
USDJPY=X,1h,2026-09-02T15:42:17.687534+00:00,tweezer,1,100.0,149.907,149.801,150.065,0.106,1.5,win,2,1.5
USDJPY=X,1h,2026-09-02T16:42:17.687534+00:00,marubozu,1,65.9,149.969,149.894,150.08,0.075,1.5,win,1,1.5
USDJPY=X,1h,2026-09-02T17:42:17.687534+00:00,marubozu,1,100.0,150.149,149.99,150.387,0.159,1.5,loss,4,-1.0
USDJPY=X,1h,2026-09-02T18:42:17.687534+00:00,three_soldiers_crows,1,63.6,150.221,150.121,150.372,0.1,1.5,loss,1,-1.0
USDJPY=X,1h,2026-09-02T19:42:17.687534+00:00,tweezer,-1,-44.3,150.071,150.195,149.885,0.124,1.5,win,3,1.5
USDJPY=X,1h,2026-09-02T21:42:17.687534+00:00,marubozu,-1,-100.0,149.943,150.059,149.769,0.116,1.5,win,1,1.5
USDJPY=X,1h,2026-09-02T22:42:17.687534+00:00,marubozu,-1,-100.0,149.766,149.897,149.57,0.131,1.5,win,11,1.5
USDJPY=X,1h,2026-09-02T23:42:17.687534+00:00,tweezer,1,100.0,149.77,149.652,149.947,0.118,1.5,loss,10,-1.0
USDJPY=X,1h,2026-09-03T00:42:17.687534+00:00,marubozu,1,73.1,149.868,149.757,150.035,0.111,1.5,loss,3,-1.0
USDJPY=X,1h,2026-09-03T01:42:17.687534+00:00,tweezer,-1,-97.1,149.842,149.964,149.66,0.122,1.5,win,8,1.5
USDJPY=X,1h,2026-09-03T03:42:17.687534+00:00,marubozu,-1,-51.0,149.738,149.852,149.566,0.114,1.5,win,7,1.5
USDJPY=X,1h,2026-09-03T04:42:17.687534+00:00,tweezer,1,46.7,149.841,149.758,149.965,0.083,1.5,loss,3,-1.0
USDJPY=X,1h,2026-09-03T05:42:17.687534+00:00,tweezer,-1,-100.0,149.821,149.942,149.639,0.121,1.5,win,4,1.5
USDJPY=X,1h,2026-09-03T07:42:17.687534+00:00,marubozu,-1,-100.0,149.665,149.777,149.497,0.112,1.5,win,3,1.5
USDJPY=X,1h,2026-09-03T09:42:17.687534+00:00,marubozu,-1,-99.8,149.566,149.665,149.418,0.099,1.5,win,2,1.5
USDJPY=X,1h,2026-09-03T10:42:17.687534+00:00,marubozu,-1,-93.2,149.44,149.552,149.272,0.112,1.5,win,5,1.5
USDJPY=X,1h,2026-09-03T13:42:17.687534+00:00,marubozu,-1,-83.5,149.321,149.413,149.183,0.092,1.5,loss,1,-1.0
USDJPY=X,1h,2026-09-03T14:42:17.687534+00:00,tweezer,1,41.9,149.415,149.324,149.553,0.092,1.5,loss,1,-1.0
USDJPY=X,1h,2026-09-03T18:42:17.687534+00:00,engulfing,-1,-100.0,148.998,149.111,148.827,0.113,1.5,win,7,1.5
USDJPY=X,1h,2026-09-03T19:42:17.687534+00:00,marubozu,-1,-100.0,148.838,148.966,148.646,0.128,1.5,loss,2,-1.0
USDJPY=X,1h,2026-09-03T21:42:17.687534+00:00,marubozu,1,45.3,149.02,148.829,149.307,0.191,1.5,loss,4,-1.0
USDJPY=X,1h,2026-09-03T22:42:17.687534+00:00,tweezer,-1,-100.0,148.912,149.054,148.699,0.142,1.5,win,6,1.5
USDJPY=X,1h,2026-09-03T23:42:17.687534+00:00,tweezer,1,48.2,148.992,148.828,149.237,0.164,1.5,loss,2,-1.0
USDJPY=X,1h,2026-09-04T00:42:17.687534+00:00,tweezer,-1,-100.0,148.891,149.03,148.683,0.138,1.5,win,4,1.5
USDJPY=X,1h,2026-09-04T03:42:17.687534+00:00,engulfing,-1,-100.0,148.7,148.853,148.47,0.153,1.5,loss,9,-1.0
USDJPY=X,1h,2026-09-04T04:42:17.687534+00:00,marubozu,-1,-78.1,148.56,148.718,148.323,0.158,1.5,loss,8,-1.0
USDJPY=X,1h,2026-09-04T05:42:17.687534+00:00,tweezer,1,40.0,148.707,148.55,148.943,0.157,1.5,win,14,1.5
USDJPY=X,1h,2026-09-04T07:42:17.687534+00:00,marubozu,-1,-100.0,148.556,148.703,148.335,0.147,1.5,loss,5,-1.0
USDJPY=X,1h,2026-09-04T08:42:17.687534+00:00,tweezer,1,44.7,148.622,148.545,148.738,0.077,1.5,win,4,1.5
USDJPY=X,1h,2026-09-04T10:42:17.687534+00:00,tweezer,-1,-100.0,148.624,148.719,148.481,0.095,1.5,loss,2,-1.0
USDJPY=X,1h,2026-09-04T11:42:17.687534+00:00,tweezer,1,47.7,148.684,148.547,148.891,0.138,1.5,win,6,1.5
USDJPY=X,1h,2026-09-04T12:42:17.687534+00:00,marubozu,1,46.2,148.86,148.725,149.063,0.135,1.5,loss,1,-1.0
USDJPY=X,1h,2026-09-04T13:42:17.687534+00:00,marubozu,-1,-100.0,148.691,148.836,148.473,0.145,1.5,loss,4,-1.0
